排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Apple M4,10,11877,68546,10
2,Apple M4,10,11857,69785,10
3,Apple M4,10,11753,64470,10
4,Apple M4,10,11743,61733,10
5,Apple M4,10,11715,68780,10
6,Apple M4,10,11690,68393,10
7,Apple M4,10,11682,65998,10
8,Apple M4,10,11620,63755,10
9,Apple M4,10,11597,65306,10
10,Apple M4,10,11527,65529,10
11,Apple M4,10,11514,64801,10
12,Apple M4,10,11441,66762,10
13,Apple M4,10,11392,62223,10
14,Apple M4,10,11369,63955,10
15,Apple M4,10,11345,66222,10
16,Apple M4,10,11054,55932,10
